"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"0500000US06085","Santa Clara County, California","1787694","*****","893169","15492","47352","2852","9865","2875","574646","4969","6505","1004","178049","15097","78108","7101","19633","4235","58475","5696"
"0500000US06087","Santa Cruz County, California","263054","*****","209669","4548","2153","509","1690","682","12434","1328","379","544","28744","4563","7985","1613","1486","751","6499","1453"
"0500000US06089","Shasta County, California","177291","*****","155807","2093","1465","300","3614","1009","3898","638","498","404","2398","1724","9611","1690","1859","1200","7752","1098"
"0500000US06095","Solano County, California","414305","*****","218365","5904","62724","2275","2332","860","60726","2218","3863","353","37705","5432","28590","4490","7648","1952","20942","3594"
"0500000US06097","Sonoma County, California","485120","*****","403280","6465","8074","1297","7444","1928","19691","1275","2058","491","30703","6139","13870","2765","3018","1084","10852","2470"
"0500000US06099","Stanislaus County, California","515358","*****","402852","5490","13809","1470","5140","1487","24829","1979","3562","541","40645","4947","24521","3511","7494","2024","17027","2965"
"0500000US06101","Sutter County, California","94806","*****","61865","2944","1038","453","1265","840","13311","1562","130","210","11026","2689","6171","1863","874","618","5297","1725"
"0500000US06107","Tulare County, California","443688","*****","351635","7207","6993","1065","4672","1280","13798","1326","136","216","50923","6669","15531","3694","5882","2306","9649","2565"
"0500000US06111","Ventura County, California","825706","*****","617950","10357","14540","1263","6745","2589","57452","2446","1251","637","98142","9737","29626","4158","6596","1944","23030","3697"
"0500000US06113","Yolo County, California","201190","*****","137164","3681","4827","669","1764","696","25393","2138","1145","211","18643","3941","12254","2702","2197","1124","10057","2495"
"0500000US06115","Yuba County, California","72388","*****","50356","2002","2134","602","1015","679","5381","470","280","434","8421","2099","4801","1366","1020","959","3781","1072"
"0500000US08001","Adams County, Colorado","443715","*****","342606","8029","13965","953","5872","1890","15516","1520","567","51","52093","7858","13096","2984","4880","1888","8216","2108"
"0500000US08005","Arapahoe County, Colorado","575022","*****","428022","5987","54831","2757","6480","3147","29020","1613","978","338","30703","5270","24988","4019","4644","1840","20344","3403"
"0500000US08013","Boulder County, Colorado","295166","*****","256417","3530","2443","653","1071","466","11160","1195","45","81","14544","3453","9486","2065","1174","820","8312","1965"
"0500000US08031","Denver County, Colorado","604414","*****","422070","9149","60957","2138","7125","1950","19267","1676","321","317","75768","8965","18906","3138","4313","1714","14593","2909"
"0500000US08035","Douglas County, Colorado","287003","*****","263244","1291","2807","578","791","500","9941","1280","0","279","1623","1076","8597","1588","905","671","7692","1424"
"0500000US08041","El Paso County, Colorado","626928","*****","509425","4586","37962","2000","4254","1321","14088","1902","1373","803","22074","4042","37752","4249","4443","1541","33309","3869"
"0500000US08059","Jefferson County, Colorado","535533","*****","488173","3369","5873","912","3492","951","14028","1456","65","108","11934","2963","11968","2185","1334","595","10634","2019"
"0500000US08069","Larimer County, Colorado","300637","*****","274040","2565","2881","395","1563","548","5462","891","516","639","8855","2555","7320","1311","838","624","6482","1236"
"0500000US08077","Mesa County, Colorado","146313","*****","132485","2481","594","301","627","418","786","420","337","412","7120","2439","4364","1411","1095","967","3269","842"
"0500000US08101","Pueblo County, Colorado","159477","*****","124415","2950","2125","937","4106","1931","1457","309","308","508","20482","2891","6584","1801","2375","1289","4209","1299"
"0500000US08123","Weld County, Colorado","254270","*****","226673","3436","2241","476","3012","1026","3269","687","88","124","11705","3346","7282","2245","2569","1273","4713","1631"
"0500000US09001","Fairfield County, Connecticut","918714","*****","698323","7534","99218","2576","653","435","41247","1361","172","218","61185","7087","17916","2624","3620","1188","14296","2488"
"0500000US09003","Hartford County, Connecticut","894478","*****","652520","6050","116085","3041","1581","695","37256","1317","465","360","61000","6221","25571","3660","7206","2184","18365","3166"
"0500000US09005","Litchfield County, Connecticut","189840","*****","178234","1285","2545","567","98","112","3352","283","0","281","2757","1252","2854","745","338","333","2516","664"
"0500000US09007","Middlesex County, Connecticut","165697","*****","147306","1672","7411","1242","107","199","4721","424","227","358","2520","1313","3405","1394","601","815","2804","1053"
"0500000US09009","New Haven County, Connecticut","862989","*****","648497","5538","108896","3987","903","447","29897","1402","264","295","50661","5873","23871","3599","6724","2093","17147","3357"
"0500000US09011","New London County, Connecticut","274055","*****","225939","2056","17068","1607","1649","896","12096","572","94","158","8263","1895","8946","1973","2076","1460","6870","1811"
"0500000US09013","Tolland County, Connecticut","152781","*****","137364","1124","3525","809","210","171","4494","526","0","281","852","584","6336","1553","213","201","6123","1554"
"0500000US09015","Windham County, Connecticut","118519","*****","109773","1698","2132","339","433","269","1275","316","95","173","2723","1639","2088","460","34","54","2054","462"
"0500000US10001","Kent County, Delaware","162912","*****","113421","1105","39221","1350","608","823","2546","787","506","515","854","668","5756","1866","287","322","5469","1834"
"0500000US10003","New Castle County, Delaware","538986","*****","361817","3840","127421","2264","1251","621","23320","840","685","1034","11433","3303","13059","2754","2921","1292","10138","2374"
